"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"162","ILMN_1791375",-0.141728715665973,9.32544263519051,-4.21434804745006,3.05287226972247e-05,0.0164825086618917,1.31314967615366,"STAG3L3","STAG3 cohesin complex component like 3 (pseudogene)"
"163","ILMN_1791375",-0.141728715665973,9.32544263519051,-4.21434804745006,3.05287226972247e-05,0.0164825086618917,1.31314967615366,"STAG3L2","STAG3 cohesin complex component like 2 (pseudogene)"
"203","ILMN_2064917",0.0825094767715218,8.35880950414738,4.21247896467557,3.07723993318318e-05,0.0164825086618917,1.30559868549957,"AGGF1","angiogenic factor with G-patch and FHA domains 1"
"188","ILMN_1814726",0.125555857514799,9.28812775729831,4.18725791871431,3.42473682255978e-05,0.0181444045875227,1.20400876101407,"SCARB2","scavenger receptor class B member 2"
"63","ILMN_1711919",0.09179777297485,8.43245120397808,4.1831626546272,3.48457798938157e-05,0.0182629355224125,1.18756615650337,"SCYL2","SCY1 like pseudokinase 2"
"100","ILMN_1742163",-0.167758441679457,12.714732964825,-4.17564583442083,3.59701816930184e-05,0.0186516871923521,1.15742449836416,"MTMR12","myotubularin related protein 12"
"59","ILMN_1708485",-0.073459739907177,8.17610052310457,-4.1658446734011,3.74882849939558e-05,0.0186612744959817,1.11819795432027,"BIN3","bridging integrator 3"
"77","ILMN_1720865",-0.07239909366427,8.28578985596813,-4.16648338064394,3.73875245579351e-05,0.0186612744959817,1.12075162100291,"OSBPL7","oxysterol binding protein like 7"
"221","ILMN_2175094",-0.0757471479636234,8.40007154209544,-4.16692395411699,3.73181714966346e-05,0.0186612744959817,1.12251332359489,"TDRD1","tudor domain containing 1"
"255","ILMN_2399174",-0.0577638289346147,8.0199399370409,-4.16564331772294,3.75201038243447e-05,0.0186612744959817,1.11739297288503,"TRAK1","trafficking kinesin protein 1"
"43","ILMN_1691731",0.220753511431047,9.08470052249409,4.15602810269098,3.90698344636934e-05,0.0190434187142934,1.07899496593395,"PARP14","poly(ADP-ribose) polymerase family member 14"
"243","ILMN_2334242",-0.142089788321707,9.99699753455143,-4.15745020648489,3.88368463375113e-05,0.0190434187142934,1.08466892668054,"CREB1","cAMP responsive element binding protein 1"
"200","ILMN_1903914",-0.17983111158412,9.24439155757488,-4.14860909375458,4.03070623012299e-05,0.0194519488186787,1.04942338648462,NA,NA
"5","ILMN_1655077",0.124309519647964,8.81707772836906,4.13112548455335,4.33719434161368e-05,0.020725835941072,0.97992802652441,"PRDM1","PR/SET domain 1"
"58","ILMN_1708006",0.114848559465534,8.76487411564325,4.12750866130223,4.40330848522096e-05,0.0208010605172695,0.965585398484501,"MICB","MHC class I polypeptide-related sequence B"
"136","ILMN_1771385",0.239897379513652,9.01305466912608,4.12561594167443,4.43828791144399e-05,0.0208010605172695,0.958084383468423,"GBP4","guanylate binding protein 4"
"91","ILMN_1733998",0.25731742150109,9.96474001347113,4.11879538243832,4.56654542729296e-05,0.0209983544544447,0.9310802695039,"DHRS9","dehydrogenase/reductase 9"
"94","ILMN_1737462",0.15898824136193,8.81198284491814,4.12104857514,4.52378997816334e-05,0.0209983544544447,0.939996595524899,"OXR1","oxidation resistance 1"
"223","ILMN_2186877",-0.0718716007393585,8.24531402328328,-4.11241428478478,4.68972641820061e-05,0.0213632378575639,0.905853464271685,"EBLN2","endogenous Bornavirus like nucleoprotein 2"
